"Player","Position","Team","Sleeper","ESPN","Yahoo!","CBS","Fantrax","FFPC","BB10s","NFFC","Underdog","Consensus"
"Tyler Ferguson","QB","","650.0","","","","","","","","","650.0"
"Jerome Cunningham","TE","","650.0","","","","","","","","","650.0"
"Joe Manjack","WR","DEN","650.0","","","","","","","","","650.0"
"Oliver Martin","WR","","650.0","","","","","","","","","650.0"
"Bryson Nesbit","TE","MIN","651.0","","","","","","","","","651.0"
"Bryant Mitchell","WR","","651.3","","","","","","","","","651.3"
"Riley Neal","QB","","651.7","","","","","","","","","651.7"
"Kaidon Salter","QB","","652.0","","","","","","","","","652.0"
"Brady Boyd","WR","JAX","652.5","","","","","","","","","652.5"
"Tyler Moore","TE","IND","653.3","","","","","","","","","653.3"
"Riley Sharp","TE","","653.3","","","","","","","","","653.3"
"Stevie Scott","RB","","654.0","","","","","","","","","654.0"
"Jeret Smith","WR","","654.0","","","","","","","","","654.0"
"Alex Smith","QB","","654.3","","","","","","","","","654.3"
"Christian Wade","RB","","654.7","","","","","","","","","654.7"
"Tony Torres","TE","","655.0","","","","","","","","","655.0"
"Keith Kirkwood","WR","","655.7","","","","","","","","","655.7"
"Dresser Winn","QB","","655.8","","","","","","","","","655.8"
"Pooka Williams","RB","","656.0","","","","","","","","","656.0"
"Tony Boone","QB","","656.0","","","","","","","","","656.0"
"Cade Johnson","WR","","656.5","","","","","","","","","656.5"
"Jerand Bradley","WR","LAC","657.0","","","","","","","","","657.0"
"B.J. Emmons","RB","","657.5","","","","","","","","","657.5"
"John Ursua","WR","","657.5","","","","","","","","","657.5"
"Al-Jay Henderson","RB","","658.0","","","","","","","","","658.0"
"Erik Krommenhoek","TE","","658.7","","","","","","","","","658.7"
"Evan Berry","WR","","659.0","","","","","","","","","659.0"
"Kole Taylor","TE","","659.0","","","","","","","","","659.0"
"Gerald Holmes","RB","","659.3","","","","","","","","","659.3"
"Ben Ellefson","TE","","659.8","","","","","","","","","659.8"
"Papi White","WR","","660.0","","","","","","","","","660.0"
"Joaquin Davis","WR","PIT","660.0","","","","","","","","","660.0"
"Kenneth Lawler","WR","","660.2","","","","","","","","","660.2"
"Sam Hartman","QB","WAS","660.9","","","","","","","","","660.9"
"Jermaine Kearse","WR","","661.3","","","","","","","","","661.3"
"Rob Griffin","QB","","661.3","","","","","","","","","661.3"
"Trebor Pena","WR","JAX","662.5","","","","","","","","","662.5"
"Henry Litwin","WR","","662.8","","","","","","","","","662.8"
"Bryan Bennett","QB","","663.0","","","","","","","","","663.0"
"Jahmal Banks","WR","","663.9","","","","","","","","","663.9"
"Joe Fagnano","QB","BAL","664.0","","","","","","","","","664.0"
"Tavonn Salter","WR","","664.5","","","","","","","","","664.5"
"Heinrich Haarberg","TE","","664.5","","","","","","","","","664.5"
"Kalen Ballage","RB","","665.0","","","","","","","","","665.0"
"Marquise Williams","QB","","665.0","","","","","","","","","665.0"
"Tyren Montgomery","WR","TEN","665.5","","","","","","","","","665.5"
"Lucky Jackson","WR","DET","666.6","","","","","","","","","666.6"
"Bryant Koback","RB","","667.0","","","","","","","","","667.0"
"Will Fuller","WR","","667.0","","","","","","","","","667.0"
"Byron Pringle","WR","","667.1","","","","","","","","","667.1"
"Jay Ajayi","RB","","667.1","","","","","","","","","667.1"
"Damoun Patterson","WR","","668.3","","","","","","","","","668.3"
"Phillip Brooks","WR","","669.0","","","","","","","","","669.0"
"Bronson Rechsteiner","RB","","669.5","","","","","","","","","669.5"
"Jake Coker","QB","","670.0","","","","","","","","","670.0"
"De'Anthony Thomas","WR","","670.0","","","","","","","","","670.0"
"Chad Kelly","QB","","670.8","","","","","","","","","670.8"
"Xavier Turner","RB","","671.0","","","","","","","","","671.0"
